Data base file: analysis/J0010+1058/psd/J0010+1058.h5
--------------------------------------------------
Light curve:
Total time: 3849.44
Split at gaps: 0.00
Full data resampled 10 times.
Split data resampled 10 times.
Resample rate: median
--------------------------------------------------
Light curve simulation:
Total time: 3849.44 * 10.0
Initial sampling rate: 0.10
--------------------------------------------------
Power spectral density: b'powerlaw'
Amplitude scaling: b'std'
Bins per order: 5

--------------------------------------------------
Spectral    _____________accuracy______________    false neg.    confidence interval
index       dev. med.    dev. mean    dev. std.    rate          in      out     unkn.
0.00        -0.35        -0.33        0.33          0.00          0.48    0.06    0.46
0.10        -0.32        -0.28        0.30          0.00          0.55    0.06    0.39
0.20        -0.29        -0.21        0.29          0.00          0.63    0.04    0.33
0.30        -0.24        -0.17        0.25          0.00          0.71    0.04    0.25
0.40        -0.20        -0.15        0.20          0.00          0.77    0.05    0.18
0.50        -0.14        -0.11        0.17          0.01          0.79    0.08    0.13
0.60        -0.10        -0.07        0.13          0.01          0.80    0.07    0.13
0.70        -0.05        -0.04        0.10          0.01          0.79    0.07    0.14
0.80        -0.05        -0.03        0.09          0.02          0.70    0.16    0.14
0.90        -0.03        -0.02        0.07          0.01          0.56    0.27    0.17
1.00        -0.02        -0.01        0.07          0.02          0.45    0.40    0.15
1.10        -0.01        -0.01        0.07          0.01          0.42    0.42    0.16
1.20        -0.01        -0.01        0.07          0.02          0.41    0.38    0.21
1.30        -0.01        -0.01        0.08          0.01          0.38    0.33    0.29
1.40        -0.01        -0.01        0.09          0.02          0.41    0.25    0.34
1.50        -0.01        -0.01        0.10          0.02          0.48    0.18    0.34
1.60        -0.02        -0.01        0.11          0.01          0.55    0.11    0.33
1.70        -0.01        -0.01        0.12          0.01          0.63    0.08    0.29
1.80        -0.02        -0.02        0.13          0.00          0.65    0.09    0.27
1.90        -0.02        -0.02        0.14          0.01          0.71    0.07    0.21
2.00        -0.02        -0.02        0.16          0.00          0.68    0.10    0.21
2.10        -0.02        -0.02        0.18          0.01          0.73    0.08    0.19
2.20        -0.02        -0.03        0.20          0.00          0.74    0.09    0.17
2.30        -0.01        -0.03        0.22          0.00          0.74    0.09    0.17
2.40        -0.01        -0.04        0.25          0.00          0.75    0.09    0.16
2.50        +0.00        -0.02        0.28          0.00          0.73    0.10    0.17
2.60        +0.01        -0.04        0.33          0.00          0.76    0.08    0.16
2.70        +0.02        -0.04        0.36          0.01          0.75    0.08    0.17
2.80        +0.06        +0.00        0.39          0.00          0.74    0.10    0.15
2.90        +0.03        -0.01        0.43          0.00          0.77    0.11    0.12
3.00        -0.01        -0.00        0.48          0.01          0.75    0.11    0.14
3.10        +0.05        +0.03        0.52          0.00          0.73    0.12    0.14
3.20        +0.02        +0.01        0.57          0.00          0.74    0.13    0.13
3.30        +0.09        +0.04        0.60          0.00          0.73    0.14    0.13
3.40        +0.14        +0.10        0.62          0.00          0.77    0.13    0.11
3.50        +0.16        +0.12        0.65          0.00          0.74    0.12    0.14
3.60        +0.26        +0.16        0.67          0.00          0.75    0.15    0.10
3.70        +0.27        +0.21        0.75          0.00          0.78    0.11    0.12
3.80        +0.29        +0.23        0.75          0.00          0.78    0.11    0.11
3.90        +0.28        +0.24        0.78          0.00          0.80    0.10    0.10
4.00        +0.35        +0.31        0.80          0.00          0.79    0.10    0.11
4.10        +0.42        +0.37        0.81          0.00          0.82    0.08    0.10
4.20        +0.53        +0.50        0.83          0.00          0.81    0.09    0.10
4.30        +0.58        +0.55        0.83          0.00          0.80    0.09    0.10
4.40        +0.65        +0.64        0.84          0.00          0.81    0.09    0.10
4.50        +0.65        +0.70        0.88          0.00          0.81    0.09    0.09
4.60        +0.73        +0.78        0.87          0.00          0.81    0.09    0.10
4.70        +0.68        +0.83        0.87          0.00          0.83    0.08    0.09
4.80        +0.67        +0.90        0.87          0.00          0.83    0.08    0.09
4.90        +0.74        +0.97        0.88          0.00          0.83    0.08    0.09
5.00        +0.80        +1.05        0.88          0.00          0.83    0.08    0.09
