Data base file: analysis/J0010+1058/psd/J0010+1058.h5
--------------------------------------------------
Light curve:
Total time: 3849.44
Split at gaps: 0.00
Full data resampled 10 times.
Split data resampled 10 times.
Resample rate: median
--------------------------------------------------
Light curve simulation:
Total time: 3849.44 * 10
Initial sampling rate: 0.10
--------------------------------------------------
Power spectral density: b'powerlaw'
Amplitude scaling: b'std'
Bins per order: 5

--------------------------------------------------
Best index:           1.965297
Min. chisq:           25.75
p-value:              0.12
Confidence interval
at 0.05 sign. level:  1.59 - nan

--------------------------------------------------
Spectral   obs.         p-value
index      chi sq.
0.00       2.20e+03     1.00
0.10       1.96e+03     1.00
0.20       1.88e+03     1.00
0.30       1.51e+03     1.00
0.40       1.29e+03     1.00
0.50       8.23e+02     1.00
0.60       6.11e+02     1.00
0.70       4.04e+02     1.00
0.80       2.64e+02     1.00
0.90       2.06e+02     1.00
1.00       1.40e+02     1.00
1.10       1.07e+02     1.00
1.20       7.71e+01     1.00
1.30       6.01e+01     1.00
1.40       4.83e+01     1.00
1.50       3.92e+01     1.00
1.60       3.30e+01     0.97
1.70       2.86e+01     0.80
1.80       2.79e+01     0.51
1.90       2.69e+01     0.24
2.00       2.96e+01     0.12
2.10       2.82e+01     0.07
2.20       3.07e+01     0.03
2.30       3.80e+01     0.03
2.40       4.61e+01     0.04
2.50       5.43e+01     0.04
2.60       6.48e+01     0.04
2.70       7.94e+01     0.04
2.80       9.66e+01     0.04
2.90       1.57e+02     0.04
3.00       2.36e+02     0.04
3.10       3.35e+02     0.04
3.20       5.41e+02     0.04
3.30       4.25e+02     0.04
3.40       7.24e+02     0.04
3.50       7.67e+02     0.04
3.60       2.16e+03     0.04
3.70       3.33e+03     0.03
3.80       3.06e+03     0.03
3.90       8.94e+03     0.02
4.00       1.05e+04     0.03
4.10       2.08e+04     0.01
4.20       2.90e+04     0.02
4.30       1.80e+04     0.02
4.40       5.78e+04     0.02
4.50       2.84e+04     0.02
4.60       9.50e+04     0.01
4.70       2.56e+05     0.01
4.80       1.69e+05     0.01
4.90       2.13e+05     0.01
5.00       4.42e+05     0.01
